Unit_Number,Lease_or_Own,Status,Utilimarc_Class,Utilimarc_Category,Company_Code_Detail,Class_Code,Description,Unit_Make,Unit_Model,Unit_Year,Age,Unit_In_Service_Date,Unit_Disposal_Date,Unit_GVWR, Purchase_Price_Without_Tax ,Purchase_Price_With_Tax,Depreciated_Value,Lease_Cost,Interest_Cost,Depreciation_Cost,License_Cost,Mechanic_Labor_Cost,Vendor_Cost,Parts_Cost,Fuel_Cost,Other,Overhead_Cost,Total_Cost,Mechanic_Labor_Hours,Annual_Mileage,MRH,Fuel_Gallons,Fuel_Type,Drive_Type,Inservice_Over_Year,Take_home_vehicle,Total_Demand_Repair_Workorders,Total_Preventive_Maintenance_Workorders,Life to date mileage
20207,2,1,8,Vehicle,632,61600,PICKUP 4X4 REG CAB,GM/Chevey,2500HD,#N/A,19,4/20/2000,,8600,22116.78,22116.78,0,0,0,0,249.31,553.84,0,684.99,700.85,324.86,845.44,3359.3,360,3306,19.38364667,278.3,,4,1,0,3,2,147259
12295,2,1,10.3,Vehicle,455,62406,SUV 4X2,GM/Chevey,SUBURBAN,2012,7,5/3/2012,,8600,39354,39354,11806.2,0,377.8,2508.16,249.31,3249.18,0,817.56,4145.6,321.66,837.12,12506.38,2112,13792,19.19286776,1662.9,,2,1,0,35,4,1149
11275,2,1,10.3,Vehicle,455,62400,SUV 4X2,GM/Chevey,SUBURBAN,2011,8,5/23/2011,,8600,38284,38284,7656.8,0,245.02,2439.96,249.31,1633.82,800.83,227.68,3544.47,321.66,837.12,10299.89,1062,15149,19.19286776,1419.8,,2,1,0,6,4,120233
11276,2,1,10.3,Vehicle,455,62400,SUV 4X2,GM/Chevey,SUBURBAN,2011,8,5/19/2011,,8600,38284,38284,7656.8,0,245.02,2439.96,249.31,1476.9,0,253.34,2686.64,321.66,837.12,8509.96,960,8892,19.19286776,1079.4,,2,1,0,11,3,110844
29254,2,1,10.3,Vehicle,455,62400,SUV 4X4,GM/Chevey,SUBURBAN,2009,10,4/15/2010,,8600,34960,34960,0,0,0,2228.11,249.31,1799.97,0,747.35,4378.49,321.66,837.12,10562.02,1170,17173,19.19286776,1732.5,,4,1,0,15,3,158610
29243,2,1,10.3,Vehicle,218,62400,SUV 4X4,GM/Chevey,SUBURBAN,2009,10,4/5/2010,,8600,34960,34960,0,0,0,2228.11,249.31,2215.35,0,180.71,3786.72,321.66,837.12,9818.98,1440,20580,19.19286776,1425.155,,4,1,1,10,5,159600
29247,2,1,10.3,Vehicle,551,62400,SUV 4X4,GM/Chevey,SUBURBAN,2009,10,2/25/2010,,8600,34960,34960,0,0,0,2228.11,249.31,323.07,0,48.15,2060.75,321.66,837.12,6068.17,210,7296,19.19286776,686.96,,4,1,0,3,1,82642
29245,2,2,10.3,Vehicle,218,62400,SUV 4X4,GM/Chevey,SUBURBAN,2009,10,2/10/2010,5/31/2018,8600,34960,34960,0,0,0,2228.11,249.31,369.22,0,0,0,0,0,2846.65,240,0,19.19286776,0,,4,0,0,1,0,178951
26240,2,1,11.3,Vehicle,916,64850,VAN CARGO 4X4,Ford,E250,2006,13,5/2/2006,,8600,16887,16887,0,0,0,0,249.31,415.38,0,29.07,159.19,358.18,932.17,2143.3,270,2524,21.37200017,63.91,,4,1,0,3,2,29110
29391,2,1,11.1,Vehicle,73,64400,VAN PASSENGER 4X2,GM/Chevey,2500,2009,10,2/19/2009,,8600,26606,26606,0,0,0,1695.69,249.31,923.06,0,67.9,94.57,311.91,811.76,4154.2,600,577,18.61126235,42.5,,2,1,0,6,1,4871
29261,2,1,11.4,Vehicle,207,64650,VAN CARGO 4X2,Freightliner,SPRINTER,2009,10,3/30/2010,,8550,43348,43348,0,0,0,2762.71,247.86,4273.78,0,976.7,800.2,408.79,1063.88,10533.92,2778,3854,24.3918333,311.58,,2,1,0,20,0,61851
28658,2,1,35.1,POE,305,72000,CONSTRUCTION EXCAVATOR,Caterpillar,3035CCR,2008,11,12/9/2009,,8355,0,0,0,0,0,0,242.21,230.77,0,24.89,86.22,342.25,890.71,1817.04,150,1333,20.42146999,34.5,,,1,0,2,1,1333
28643,2,1,35.1,POE,312,72000,CONSTRUCTION EXCAVATOR,Caterpillar,3035CCR,2008,11,5/5/2008,,8355,52400,52400,0,0,0,0,242.21,1661.51,0,351.91,25.35,342.25,890.71,3513.94,1080,1958,20.42146999,9.1,,,1,0,6,5,1958
22913,2,1,49,POE,613,70100,CONSTRUCTION FORKLIFT,HYSTER,H80XM,2002,17,12/18/2002,,8000,27763,27763,4164.45,0,133.26,884.71,231.91,0,703.26,0,1378.58,323.9,842.94,4498.56,0,0,19.32615327,554.1,,,1,0,2,0,0
24612,2,1,49,POE,615,70100,CONSTRUCTION FORKLIFT,Caterpillar,P6000,2004,15,5/10/2004,,8000,21401,21401,5350.25,0,171.21,681.98,231.91,0,424.82,0,542.73,323.9,842.94,3219.48,0,0,19.32615327,223.7,,,1,0,1,0,470
24611,2,1,49,POE,613,70100,CONSTRUCTION FORKLIFT,Caterpillar,GP40K,2004,15,3/31/2004,,8000,28096,28096,7024,0,224.77,895.32,231.91,0,491.27,0,354.25,323.9,842.94,3364.36,0,0,19.32615327,142.1,,,1,0,1,0,6429
21606,2,1,49,POE,613,70100,CONSTRUCTION FORKLIFT,Caterpillar,GP40LP2,2001,18,1/29/2002,,8000,0,0,0,0,0,0,231.91,92.31,0,0,0,323.9,842.94,1491.05,60,0,19.32615327,0,,,1,0,1,0,238
98900,2,1,49,POE,73,70100,CONSTRUCTION FORKLIFT,Caterpillar,GP40,1998,21,5/21/1998,,8000,0,0,0,0,0,0,231.91,0,0,0,0,323.9,842.94,1398.75,0,0,19.32615327,0,,,1,0,0,0,1316
98901,2,1,49,POE,161,70100,CONSTRUCTION FORKLIFT,Caterpillar,GP40LP2,1998,21,6/19/1998,,8000,0,0,0,0,0,0,231.91,0,0,0,0,323.9,842.94,1398.75,0,0,19.32615327,0,,,1,0,0,0,975
97271,2,1,7,Vehicle,632,61400,PICKUP 4X4 REG CAB,GM/Chevey,1500,1997,22,6/16/1997,,8000,0,0,0,0,0,0,231.91,1615.36,0,242.29,576.59,265.22,690.23,3621.61,1050,3365,15.82502639,230.89,,4,1,0,8,2,122550
2803,2,2,100,Trailer,916,83750,TRALER OFFICE,WELLS CARGO,CEW202,1995,24,6/2/1995,12/7/2018,8000,36785,36785,0,0,0,0,231.91,184.61,0,0,0,0,0,416.53,120,0,11.70707367,0,,,0,0,1,0,0
27820,2,1,100,Trailer,312,80500,TRAILER UTILITY,WELLS CARGO,EW1622,2007,12,4/25/2007,,7700,5890,5890,2356,0,75.39,187.69,223.22,784.6,0,18.94,0,196.2,510.62,1996.67,510,0,11.70707367,0,,,1,0,8,4,0
20847,2,1,100,Trailer,216,80250,TRAILER UTILITY,WELLS CARGO,TW122,2000,19,12/6/2000,,7700,4051,4051,202.55,0,6.48,129.09,223.22,46.15,0,3.22,0,196.2,510.62,1114.99,30,0,11.70707367,0,,,1,0,2,0,0
23892,2,1,100,Trailer,216,81750,TRALIER BATTERY,WELLS CARGO,TW142,2003,16,7/1/2003,,7700,5510,5510,1102,0,35.26,175.59,223.22,0,0,0,0,196.2,510.62,1140.89,0,0,11.70707367,0,,,1,0,0,0,0
14352,2,1,10.2,Vehicle,218,63406,SUV 4X4,GM/Chevey,SUBURBAN,2015,4,3/5/2015,,7500,43798,43798,26278.8,0,840.92,2791.39,217.42,1199.98,1575.18,353.95,4783.39,222.78,579.78,12564.79,780,9996,13.29272532,1325.078,,4,1,1,8,4,83635
14364,2,1,10.3,Vehicle,455,63406,SUV 4X4,GM/Chevey,SUBURBAN,2015,4,2/9/2015,,7500,43216,43216,25929.6,0,829.75,2754.3,217.42,2399.96,0,462.33,3061.49,321.66,837.12,10884.02,1560,12667,19.19286776,1180.81,,4,1,0,20,4,41645
16201,2,1,10.3,Vehicle,161,62406,SUV 4X4,GM/Chevey,TAHOE,2016,3,5/5/2016,,7300,43097,43097,30167.9,0,965.37,2746.71,211.62,184.61,0,32.52,1119.96,321.66,837.12,6419.58,120,8976,19.19286776,513.77,,4,1,0,0,1,26735
15123,2,1,7,Vehicle,782,61400,PICKUKP 4X4 DBL CAB,GM/Chevey,1500,2015,4,2/12/2015,,7200,35878,35878,19932.22,0,637.83,2540.69,208.72,646.14,348.8,86.63,4235.26,265.22,690.23,9659.51,420,23878,15.82502639,1345.796,,4,1,1,2,4,101231
14346,2,1,7,Vehicle,216,61406,PICKUP 4X4 CREW CAB,GM/Chevey,1500,2014,5,1/4/2014,,7200,33569,33569,14919.56,0,477.43,2377.18,208.72,1569.21,382.28,521.63,3615.83,265.22,690.23,10107.72,1020,24043,15.82502639,1449.93,,4,1,1,5,3,120335
14354,2,1,7,Vehicle,305,61406,PICKUP 4X4 CREW CAB,GM/Chevey,1500,2014,5,1/21/2014,,7200,34530,34530,15346.67,0,491.09,2445.23,208.72,1476.9,0,778.44,2401.57,265.22,690.23,8757.4,960,15544,15.82502639,961.1,,4,1,1,9,3,95007
14353,2,1,7,Vehicle,357,61406,PICKUP 4X4 CREW CAB,GM/Chevey,1500,2014,5,4/25/2014,,7200,33691,33691,14973.78,0,479.16,2385.82,208.72,1070.75,0,260.5,2153.12,265.22,690.23,7513.52,696,13388,15.82502639,856.4,,4,1,1,7,3,65330
